method_id,method_family,method_name,primary_reference,reference_type,detector_type,physical_or_operational,required_data,required_illumination,required_exposure_series,required_dark_frames,required_repeated_frames,required_metadata,required_calibration,primary_outputs,estimable_parameters,main_assumptions,main_failure_modes,applicable_to_iccd,applicable_to_current_data,evidence_level,paper_value,noise_model_value,risk_of_overclaiming
M11,Response,saturation and dynamic range,R01;R03,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,dark/noise floor and controlled saturation series,uniform stable,required,matched,pairs,"bit depth, exposure, settings",response calibration,"saturation, SNRmax, dynamic range",dynamic range,noise floor and saturation measured consistently,sample maxima are not saturation capacity,True,False,LEVEL-S,high,low,high
M12,Temporal,pixelwise temporal mean/std/variance,R01;R14,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,ordered repeated raw frames at fixed settings,scene or flat,no,no,required,settings; scene relation,fixed ROI,temporal maps/distributions,operational temporal strength,scene stationary enough,motion/flicker/drift,True,True,LEVEL-A,high,high,controlled by terminology
M13,Temporal,frame-difference temporal noise,R04;R14,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,paired consecutive/split repeated frames,scene or flat,no,no,required,ordering,difference scaling,difference std/maps,temporal difference-noise strength,scene stable between pair,motion/flicker,True,True,LEVEL-A,high,high,controlled by terminology
M14,Temporal,frame-count convergence,R14,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,long repeated sequence,scene or flat,no,no,required,ordering,pre-registered subsets,estimate versus frame count,convergence range,same acquisition block,drift and scene changes,True,True,LEVEL-B,high,high,controlled by terminology
M15,Temporal,split-half and odd-even repeatability,R14,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,ordered repeated sequence,scene or flat,no,no,required,ordering,pre-registered split,repeatability/correlation,reliability bounds,splits represent same state,drift,True,True,LEVEL-B,high,high,controlled by terminology
M16,Temporal,frame-level DC drift,R14;R17,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,ordered repeated frames,scene or flat,no,no,required,ordering; timestamps helpful,none,frame mean trend/change,operational drift,scene and illumination stable,"flicker, scene motion",True,True,LEVEL-B,high,medium,controlled by terminology
M17,Temporal,time-series autocorrelation,R16;R17,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,ordered samples,any stable target,no,no,required,ordering; interval,none,lag correlation,sample-lag memory,sampling order known,unknown interval limits seconds/Hz,True,True,LEVEL-B,medium,medium,controlled by terminology
M18,Temporal,Allan/multiscale stability,R16;R17,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,long ordered time series,stable target,no,no,required,sampling interval strongly preferred,none,variance versus averaging scale,stability regimes,stationarity and known cadence,only 200 frames; cadence unknown,True,True,LEVEL-B,medium,low,controlled by terminology
M19,Correlation,horizontal/vertical/radial ACF of temporal residual,R07;R08,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,temporal residual fields from repeated frames,scene or flat,no,no,required,fixed ROI and settings,temporal mean subtraction/differencing,ACF profiles,correlation strength/length proxy,residual isolates temporal field,mean-image or scene leakage,True,True,LEVEL-A,high,high,controlled by terminology
M20,Correlation,2D spatial covariance,R05;R06;R15,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,paired flats ideally; temporal residual acceptable operationally,flat preferred,signal levels preferred,matched for physical PTC,required,settings and signal,residual construction,anisotropic covariance map,covariance parameters,stationary residual field,scene/FPN leakage and limited ROI,True,True,LEVEL-A,high,high,controlled by terminology
M21,Frequency,temporal-residual NPS/radial NPS,R08,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,multiple temporal residual images,uniform preferred; scene stack possible after temporal subtraction,no,no,required,pixel pitch for physical frequency,detrending/windowing definition,2D/radial NPS and bands,spectral shape,residual rather than scene image,"fixed gain pattern, window/normalization errors",True,True,LEVEL-A,high,high,controlled by terminology
M22,Frequency,mean-image/fixed-pattern spectrum,R01;R08,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,averaged stack with temporal correction,dark/flat preferred,optional,depending target,required,settings and scene,scene removal,stable spatial spectrum,repeatable observed spatial structure,scene absent or separately modeled,ordinary scene dominates,True,True,LEVEL-B,medium,low,controlled by terminology
M23,Frequency,anisotropic row/column spectral peaks,R01;R08,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,temporal residual or controlled dark/flat,uniform preferred,no,optional,required,orientation/pixel pitch,consistent PSD,directional peaks,row/column periodicity,residual field valid,scene edges and windowing,True,True,LEVEL-B,high,high,controlled by terminology
M24,PTC,3D/spatiotemporal PTC,R07,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,controlled dark/flat stacks across signal,homogeneous flat,required,matched,many frames,gain/noise factor/settings,multi-component fit,temporal+row+column+pixel curves,noise factor and spatial terms,identifiable multi-curve model,too few controlled levels; double counting,True,False,LEVEL-A,high,medium,high
M25,Photon statistics,Fano/variance-to-mean overdispersion,R10;R19,LEVEL-B,ICCD/CCD/CMOS transferable with stated limits,operational,raw repeated data and valid mean offset,uniform/known signal preferred,signal levels,matched offset preferred,required,"mode, gain, black level",offset/gain validation,variance-to-mean ratio,operational overdispersion,mean represents comparable signal scale,"pedestal, gain and scene confounding",True,True,LEVEL-B,medium,high,controlled by terminology
M26,Photon statistics,photon-count histogram/zero-event probability,R11;R12;R13,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,resolved photon events in verified counting mode,controlled low flux,multiple fluxes,dark events,required,"mode, threshold, dead time",event threshold calibration,event-rate/histogram,"count rate, ENF",single events resolvable,analog integration or unknown mode,True,False,LEVEL-A,high,low,high
M27,Gain detector,multiplication/excess-noise factor,R10;R12;R13,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,"controlled flux, darks and multiple gain settings",calibrated low-light flat,required,required,required,"MCP/EM gain, mode",input flux calibration,gain distribution/ENF,"ENF, gain",gain chain and flux known,unknown gain and compound coupling,True,False,LEVEL-A,high,medium,high
M28,Restoration,noise-level function/heteroscedastic Gaussian,R19,LEVEL-C,ICCD/CCD/CMOS transferable with stated limits,operational,repeated data or robust raw patches across signal,scene/flat,signal range,optional,required or estimator,raw scale and clipping,calibration-only fit,sigma(signal),"operational a,b",signal relation repeatable,scene/ROI/pedestal confounding,True,True,LEVEL-C,high,high,controlled by terminology
M29,Restoration,Poisson-Gaussian noise model,R19;R21,LEVEL-C,ICCD/CCD/CMOS transferable with stated limits,operational,raw data with identifiable shot/read terms,controlled preferable,signal range,bias/dark,repeated or clean pairs,gain/black level/settings,parameter fit,variance function,Poisson/read parameters,component assumptions identifiable,ICCD multiplication and unknown processing,True,True,LEVEL-C,medium,high,controlled by terminology
M30,Restoration,correlated Gaussian residual model,R08;R19,LEVEL-C,ICCD/CCD/CMOS transferable with stated limits,operational,temporal residual covariance/NPS,scene/flat,no,no,required,ROI and condition,positive-definite covariance,covariance/filter kernel,correlation parameters,stationary Gaussian approximation,non-Gaussian tails and stable leakage,True,True,LEVEL-C,medium,high,controlled by terminology
M31,Restoration,real-noise patch extraction/covariance,R21;R23,LEVEL-C,ICCD/CCD/CMOS transferable with stated limits,operational,scene-free or paired/repeated residual patches,scene stacks,conditions,optional,required,condition labels,leakage-safe residual extraction,empirical patches/covariance,conditioned empirical distribution,scene cancels reliably,scene and holdout leakage,True,True,LEVEL-C,medium,high,controlled by terminology
M32,Gain detector,afterglow/lag and phosphor-spread characterization,R12;R13,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,impulse/event or switched illumination sequence,controlled pulsed light,gate/delay series,dark events,high cadence,"gate width, cadence, phosphor, MCP gain",timing/flux calibration,lag decay and spread kernel,"afterglow time, spread proxy",timing known and events controlled,unknown cadence and ordinary scenes,True,False,LEVEL-A,high,medium,high
