method_id,method,status,supporting_asset,missing_condition,overclaiming_risk,recommended_terminology,paper_section,priority
M14,frame-count convergence,FORMALLY-ELIGIBLE,formal ICCD repeated folders,drift and scene changes,controlled by terminology,frame-count sensitivity/convergence,Temporal,P1
M15,split-half and odd-even repeatability,FORMALLY-ELIGIBLE,formal ICCD repeated folders,drift,controlled by terminology,split-map repeatability of observed stable component,Temporal,P1
M16,frame-level DC drift,FORMALLY-ELIGIBLE,formal ICCD repeated folders,"flicker, scene motion",controlled by terminology,frame-mean drift over acquisition order,Temporal,P1
M17,time-series autocorrelation,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,unknown interval limits seconds/Hz,controlled by terminology,frame-lag autocorrelation; no physical frequency,Temporal,P2
M18,Allan/multiscale stability,EXPLORATORY-ONLY,formal ICCD repeated folders,only 200 frames; cadence unknown,controlled by terminology,sample-count multiscale stability; not physical Allan time,Temporal,P3/auxiliary
M19,horizontal/vertical/radial ACF of temporal residual,FORMALLY-ELIGIBLE,formal ICCD repeated folders,mean-image or scene leakage,controlled by terminology,temporal-residual spatial autocorrelation,Correlation,P1
M20,2D spatial covariance,FORMALLY-ELIGIBLE,formal ICCD repeated folders,scene/FPN leakage and limited ROI,controlled by terminology,2D covariance of temporal residual; operational,Correlation,P1
M21,temporal-residual NPS/radial NPS,FORMALLY-ELIGIBLE,formal ICCD repeated folders,"fixed gain pattern, window/normalization errors",controlled by terminology,temporal-residual power spectrum in cycles/pixel,Frequency,P1
M22,mean-image/fixed-pattern spectrum,EXPLORATORY-ONLY,formal ICCD repeated folders,ordinary scene dominates,controlled by terminology,spectrum of repeatable observed stable component,Frequency,P3/auxiliary
M23,anisotropic row/column spectral peaks,FORMALLY-ELIGIBLE,formal ICCD repeated folders,scene edges and windowing,controlled by terminology,directional temporal-residual spectral energy,Frequency,P1
M24,3D/spatiotemporal PTC,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,too few controlled levels; double counting,high,not applicable without controlled flat series,PTC,P3/auxiliary
M25,Fano/variance-to-mean overdispersion,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,"pedestal, gain and scene confounding",controlled by terminology,Fano-like operational statistic in DN; not photon gain,Photon statistics,P2
M26,photon-count histogram/zero-event probability,NOT-ELIGIBLE,none satisfying formal prerequisites,analog integration or unknown mode,high,possible future photon-counting method only,Photon statistics,P3/auxiliary
M27,multiplication/excess-noise factor,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,unknown gain and compound coupling,high,possible physical origin only,Gain detector,P3/auxiliary
M28,noise-level function/heteroscedastic Gaussian,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,scene/ROI/pedestal confounding,controlled by terminology,observed-signal-conditioned operational noise-strength model,Restoration,P2
M29,Poisson-Gaussian noise model,EXPLORATORY-ONLY,formal ICCD repeated folders,ICCD multiplication and unknown processing,controlled by terminology,heteroscedastic operational fit; no physical component labels,Restoration,P3/auxiliary
M30,correlated Gaussian residual model,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,non-Gaussian tails and stable leakage,controlled by terminology,calibration-only correlated operational residual,Restoration,P2
M31,real-noise patch extraction/covariance,EXPLORATORY-ONLY,formal ICCD repeated folders,scene and holdout leakage,controlled by terminology,calibration-only residual patches after leakage audit,Restoration,P3/auxiliary
M32,afterglow/lag and phosphor-spread characterization,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,unknown cadence and ordinary scenes,high,possible physical origins only,Gain detector,P3/auxiliary
